,X_1,X_2,X_3,X_4,X_5,alpha
time 50,-0.56,-0.65,-0.94,-0.65,-0.94,0.67
time 51,0.29,0.3,-0.04,0.78,0.05,0.33
time 52,-0.39,-0.8,0.66,-0.97,0.9,1.0
time 53,-0.4,0.61,0.63,-0.89,0.86,1.0
time 54,0.4,0.48,-0.63,-0.23,-0.81,0.67
time 55,0.62,0.13,-0.65,-0.55,0.09,0.33
time 56,0.88,0.1,0.79,0.09,0.02,0.67
time 57,-0.46,0.35,0.71,0.35,0.11,1.0
time 58,-0.52,-0.49,-0.98,0.96,0.89,1.0
time 59,0.46,0.69,0.42,-0.92,0.5,0.33
time 60,0.25,-0.71,-0.21,-0.51,-0.49,1.0
time 61,-0.29,0.13,-0.61,-0.44,-0.65,0.67
time 62,0.85,0.07,0.25,-0.67,-0.33,1.0
time 63,0.77,0.68,0.2,0.39,-0.67,1.0
time 64,-0.36,0.6,-0.68,-0.3,-0.19,1.0
time 65,0.3,-0.8,0.94,0.65,0.69,0.67
time 66,-0.19,0.62,0.05,-0.71,0.33,0.67
time 67,-0.15,-0.9,0.17,0.78,0.18,0.33
time 68,0.56,0.49,0.29,-0.29,0.54,0.33
time 69,0.62,-0.4,0.22,0.46,0.8,0.33
time 70,-0.55,0.29,-0.38,-0.82,-0.81,0.33
time 71,-0.76,0.88,-0.32,0.78,0.82,0.33
time 72,0.11,-0.86,-0.58,0.97,0.77,0.33
time 73,-0.08,0.5,-0.12,0.44,-0.01,0.67
time 74,0.95,0.08,-0.53,-0.28,0.23,1.0
time 75,-0.29,0.72,0.82,-0.07,0.09,1.0
time 76,0.44,0.23,-0.95,0.84,-0.9,1.0
time 77,-0.43,0.16,0.14,-0.95,0.77,1.0
time 78,-0.98,0.1,-0.57,0.25,0.62,0.33
time 79,-0.83,-0.97,0.57,0.75,0.34,0.33
time 80,0.44,-0.22,-0.31,0.56,-0.1,0.33
time 81,0.56,-0.68,-0.88,-0.36,0.22,0.67
time 82,0.23,0.82,0.75,0.61,0.81,1.0
time 83,-0.56,0.58,0.56,-0.63,0.39,0.33
time 84,-0.58,-0.72,-0.12,-0.02,-0.59,0.67
time 85,0.82,-0.68,-0.36,-0.76,0.21,1.0
time 86,0.95,0.66,-0.69,-0.58,-0.38,0.33
time 87,0.09,-0.74,-0.3,-0.22,-0.65,0.33
time 88,0.27,-0.5,0.9,0.82,0.48,0.33
time 89,0.65,-0.05,0.07,-0.84,-0.18,0.67
time 90,0.06,-1.0,0.06,-0.4,-0.37,0.33
time 91,-0.93,0.61,0.14,-0.61,-0.34,0.67
time 92,-0.09,0.1,0.57,0.01,-0.84,1.0
time 93,0.34,-0.54,-0.25,0.45,0.14,0.33
time 94,-0.98,0.35,-0.9,-0.61,-0.89,0.67
time 95,-0.88,0.53,-0.31,0.23,0.02,1.0
time 96,-0.56,0.97,-0.02,-0.27,0.71,0.33
time 97,0.52,-0.07,-0.26,-0.99,-0.29,1.0
time 98,0.44,-0.05,-0.56,-0.65,-1.0,0.33
time 99,-0.03,0.74,0.92,-0.06,0.53,1.0
time 100,-0.59,-0.96,-0.73,0.38,0.27,0.33
time 101,0.14,-0.67,-0.83,0.28,0.39,0.33
time 102,0.51,-0.3,-0.13,-0.15,0.34,1.0
time 103,0.08,-0.8,0.59,-0.84,-0.45,1.0
time 104,-0.31,0.05,0.81,-0.85,-0.48,0.33
time 105,-0.34,-0.68,-0.75,-0.46,0.5,0.67
time 106,-0.34,0.3,-0.15,-0.21,0.96,0.67
time 107,-0.0,-0.04,-0.16,-0.52,0.85,0.33
time 108,-0.57,0.6,-0.17,0.18,0.58,1.0
time 109,0.08,-0.46,-0.83,0.46,0.37,0.33
time 110,-0.53,0.41,0.56,-0.6,-0.55,0.67
time 111,0.1,-0.09,0.33,0.96,0.91,0.67
time 112,-0.88,0.75,-0.71,0.17,0.72,0.67
time 113,-0.83,-0.99,-0.12,0.53,0.29,0.33
time 114,0.83,0.03,-0.38,0.95,-0.7,0.67
time 115,-0.68,-0.87,-0.05,-0.88,0.39,1.0
time 116,-1.0,0.28,0.22,0.53,-0.41,0.67
time 117,-0.35,-0.03,-0.38,-0.13,-0.87,0.67
time 118,-0.3,0.72,0.41,-0.96,0.18,1.0
time 119,0.05,0.02,-0.76,-0.53,0.95,1.0
time 120,0.16,-0.94,-0.34,0.33,-0.17,0.67
time 121,0.59,-0.66,0.15,0.32,-0.42,1.0
time 122,0.79,-0.62,-0.69,-0.05,-0.42,1.0
time 123,-0.23,-0.56,-0.78,0.04,-0.86,0.33
time 124,0.08,-0.57,-0.08,0.76,0.14,1.0
time 125,0.36,-0.1,0.7,-0.65,0.57,1.0
time 126,-0.45,0.72,0.56,-0.17,-0.75,0.67
time 127,-0.48,0.09,0.13,0.09,-0.87,0.67
time 128,0.39,-0.71,-0.15,0.74,0.74,1.0
time 129,-0.01,-0.86,-0.79,-0.33,0.9,1.0
time 130,0.73,-0.94,-0.51,-0.39,-0.24,0.67
time 131,0.4,0.98,0.8,-0.61,0.34,1.0
time 132,-0.46,-0.21,-0.76,0.46,0.5,0.67
time 133,0.57,-0.32,-0.87,0.68,-0.25,0.67
time 134,0.41,-0.36,-0.22,0.65,0.82,1.0
time 135,-0.88,-0.81,-0.19,0.34,-0.83,0.33
time 136,0.93,0.13,-0.73,-0.17,0.87,0.33
time 137,-0.39,0.33,0.16,0.49,0.16,0.67
time 138,-0.29,0.52,0.19,0.85,-0.38,0.33
time 139,0.39,0.08,-0.45,-0.71,-1.0,1.0
time 140,-0.4,0.84,0.1,0.81,-0.13,1.0
time 141,0.37,-0.06,-0.48,-0.5,0.67,0.33
time 142,0.47,0.2,0.18,-0.82,-0.82,0.67
time 143,0.57,-0.46,-0.32,0.86,0.84,1.0
time 144,-0.36,-0.52,-0.21,0.29,0.04,1.0
time 145,-0.83,0.24,0.62,-0.17,0.53,1.0
time 146,0.05,0.47,-0.44,0.2,0.06,0.33
time 147,-0.43,-0.17,-0.42,0.67,-0.65,0.33
time 148,0.55,0.08,-0.06,-0.21,-0.07,0.33
time 149,0.57,0.33,-0.6,-0.59,-0.63,0.67
time 150,-0.26,0.62,0.98,-0.23,-0.92,1.0
time 151,0.82,0.02,0.91,0.16,0.84,0.67
time 152,0.82,0.03,-0.83,-0.14,0.81,0.67
time 153,0.75,0.37,0.74,0.76,0.79,1.0
time 154,-0.61,-0.42,0.31,-0.58,-0.34,1.0
time 155,-0.79,-0.22,0.1,-0.18,0.05,1.0
time 156,-0.38,0.69,-0.36,0.92,-0.75,1.0
time 157,-0.62,0.84,0.38,-0.64,-0.69,1.0
time 158,-0.26,-0.88,0.73,-0.25,0.91,0.33
time 159,0.45,-0.46,0.9,-0.9,-0.45,0.33
time 160,0.5,-0.24,-0.86,-0.07,-0.48,0.67
time 161,-0.46,0.25,-0.75,0.52,-0.55,0.67
time 162,0.59,-0.72,0.09,0.9,-0.3,0.67
time 163,0.22,0.58,-0.96,-0.2,0.2,0.67
time 164,-0.07,-0.94,0.41,0.46,0.84,0.33
time 165,-0.58,0.31,-0.28,0.64,-0.24,0.33
time 166,-0.9,-0.28,0.73,-0.34,-0.22,1.0
time 167,0.13,-0.35,-0.07,-0.03,-0.18,0.67
time 168,0.96,-0.41,-0.64,0.23,0.7,0.67
time 169,-0.51,0.07,0.87,-0.11,0.62,1.0
time 170,-0.54,-0.24,-0.38,0.74,-0.22,1.0
time 171,0.43,-0.99,0.28,-0.06,0.18,1.0
time 172,0.33,-0.61,-0.97,0.74,-0.75,0.33
time 173,-0.79,-0.73,0.24,-0.76,0.19,1.0
time 174,-0.95,-0.53,-0.49,0.51,-0.13,0.67
time 175,-0.9,-0.38,0.05,0.67,0.23,0.67
time 176,0.43,-0.05,-0.6,0.18,-0.35,1.0
time 177,0.64,0.5,0.66,0.55,0.79,0.67
time 178,0.64,0.73,-0.19,-0.11,-0.52,1.0
time 179,-0.34,-0.82,-0.12,-0.68,-0.33,1.0
time 180,0.23,-0.68,-0.14,-0.16,0.37,0.67
time 181,-0.09,-0.19,-0.36,-1.0,-0.58,0.33
time 182,-0.09,-0.62,0.92,0.68,-0.36,0.33
time 183,0.12,0.57,0.63,0.94,0.12,0.33
time 184,0.0,0.89,-0.63,0.58,0.04,0.67
time 185,-0.55,0.39,0.44,-0.56,0.45,1.0
time 186,0.11,0.95,-0.36,-0.0,0.41,1.0
time 187,0.7,-0.08,-0.57,0.57,-0.93,0.33
time 188,-0.48,-0.69,-0.5,0.73,-0.19,0.67
time 189,-0.81,0.09,0.68,-0.09,0.15,1.0
time 190,-0.72,-0.38,-0.03,0.41,0.42,0.67
time 191,0.69,-0.97,-0.56,0.48,-0.16,0.33
time 192,0.6,-0.55,-0.72,0.27,-0.92,0.33
time 193,-0.77,0.52,-0.7,-0.87,0.41,1.0
time 194,0.54,0.11,-0.04,0.22,-0.44,0.67
time 195,0.97,0.1,-0.38,0.4,0.56,0.33
time 196,-0.93,0.94,-0.55,-0.43,-0.15,0.33
time 197,-0.64,0.22,-0.01,-0.91,0.16,0.67
time 198,0.12,0.0,0.89,0.86,0.36,1.0
time 199,-0.91,0.51,-0.49,0.16,0.85,0.67
time 200,-0.04,0.22,0.56,0.07,-0.07,0.33
time 201,-0.77,0.33,-0.11,0.26,-0.93,0.33
time 202,0.1,-0.79,0.37,-0.56,-0.36,0.33
time 203,-0.6,-0.91,0.61,0.17,-0.82,1.0
time 204,0.43,0.02,-0.42,-0.73,-0.27,0.67
time 205,0.33,0.67,-0.41,0.46,-0.5,0.67
time 206,0.29,-0.33,-0.1,-0.72,-0.16,0.67
time 207,-0.33,-0.33,0.04,-0.12,-0.9,0.33
time 208,0.62,0.29,0.03,0.56,0.98,1.0
time 209,0.36,-0.35,0.29,0.22,0.35,0.33
time 210,-0.83,0.34,0.1,-0.57,-0.58,0.67
time 211,0.45,-0.27,0.75,0.01,-0.03,0.33
time 212,0.41,-0.7,0.79,0.36,0.87,0.33
time 213,0.48,-0.49,-0.63,0.71,0.96,1.0
time 214,0.36,0.04,-0.33,-0.17,0.11,1.0
time 215,0.54,0.65,0.87,-0.07,0.5,1.0
time 216,0.58,-0.21,-0.26,-0.51,-0.76,1.0
time 217,-0.15,-0.03,0.35,0.76,-0.64,0.33
time 218,-0.95,0.98,-0.19,0.03,0.95,0.33
time 219,-0.57,-0.03,0.07,-0.68,-0.14,0.33
time 220,-0.88,-0.18,0.44,-0.38,-0.58,1.0
time 221,-0.22,0.86,0.05,0.49,0.88,0.33
time 222,0.2,0.71,-0.16,-0.29,0.24,0.33
time 223,-0.13,-0.31,0.41,-0.4,-0.69,1.0
time 224,0.65,-0.18,0.21,0.1,-0.31,0.67
time 225,0.13,-0.06,-0.81,0.15,-0.78,1.0
time 226,0.64,0.52,0.77,-0.68,-0.4,0.67
time 227,-0.87,-0.58,0.3,-0.62,-0.1,1.0
time 228,0.56,-0.27,-0.75,-0.39,-0.48,0.67
time 229,-0.78,0.7,0.39,0.63,-0.53,0.67
time 230,-0.75,-0.72,0.74,-0.83,-0.02,0.33
time 231,0.35,-0.9,0.49,-0.92,0.18,0.67
time 232,0.01,-0.21,-0.31,0.96,-0.03,0.33
time 233,0.36,-0.49,-0.07,0.46,-0.41,1.0
time 234,-0.99,0.26,0.81,0.52,-0.05,0.33
time 235,0.15,-0.99,0.66,0.76,0.7,1.0
time 236,0.74,0.23,0.93,-0.38,0.21,1.0
time 237,-0.97,0.17,-0.7,0.77,-0.23,0.33
time 238,-0.23,-0.73,0.98,0.97,-0.37,0.33
time 239,-0.92,0.38,0.75,0.61,0.05,0.33
time 240,-0.86,-0.3,-0.78,-0.21,0.78,0.33
time 241,-0.55,-0.61,0.37,-0.27,0.06,1.0
time 242,-0.78,0.85,0.86,0.64,-0.05,0.33
time 243,-0.34,0.21,0.8,0.26,0.25,1.0
time 244,0.49,0.33,-0.07,0.29,0.76,0.33
time 245,0.05,-0.46,0.37,0.69,-0.03,1.0
time 246,0.83,-0.32,0.57,0.5,-0.74,1.0
time 247,-0.2,-0.04,-0.95,-0.77,-0.25,0.67
time 248,-0.6,-0.41,-0.85,-0.22,-0.45,0.33
time 249,-0.82,0.51,0.41,0.54,0.41,0.33
time 250,0.21,-0.21,-0.9,0.03,0.68,0.33
time 251,0.78,0.18,0.61,0.84,0.03,0.33
time 252,0.2,0.31,-0.65,-0.28,0.73,0.33
time 253,-0.2,0.39,-0.18,0.27,-0.97,1.0
time 254,0.98,-0.97,0.44,0.7,-0.9,0.67
time 255,0.45,0.89,0.58,0.2,-0.1,0.67
time 256,0.54,0.12,-0.35,0.01,0.97,1.0
time 257,0.23,0.85,0.1,0.92,-0.11,0.67
time 258,0.14,0.1,-0.66,-0.58,0.15,0.67
time 259,0.68,-0.95,0.43,-0.19,0.22,0.33
time 260,0.07,0.06,-0.63,-0.37,0.95,1.0
time 261,0.27,0.18,0.82,0.4,0.08,1.0
time 262,0.42,0.61,0.1,0.08,-0.57,1.0
time 263,0.54,-0.8,-0.48,0.27,-0.15,0.33
time 264,0.63,-0.57,0.61,0.75,-0.34,0.67
time 265,-0.86,0.2,0.63,-0.86,-0.95,1.0
time 266,0.69,0.21,0.44,0.3,0.68,0.33
time 267,0.6,0.36,-0.79,0.09,-0.4,0.33
time 268,-0.2,-0.77,-0.61,0.29,0.13,1.0
time 269,-0.15,-0.86,0.06,0.91,-0.24,0.33
time 270,-0.6,-0.39,-0.28,0.96,-0.85,1.0
time 271,0.38,0.71,0.54,0.34,0.87,1.0
time 272,0.28,0.35,0.1,0.57,-0.89,0.67
time 273,-0.76,0.97,0.27,0.26,-0.64,1.0
time 274,-0.2,-0.66,-0.67,-0.53,-0.11,0.67
time 275,0.63,-0.66,-0.74,0.07,0.56,0.67
time 276,0.41,-0.29,-0.49,0.87,-0.52,0.67
time 277,0.63,0.19,0.69,0.52,-0.6,1.0
time 278,-0.61,-0.2,-0.02,-0.9,0.31,0.33
time 279,-0.72,-0.94,0.97,0.27,0.78,1.0
time 280,0.36,0.69,-0.08,-0.37,-0.97,0.67
time 281,0.82,0.87,0.35,-0.91,0.28,1.0
time 282,-0.33,0.23,-0.24,0.49,-0.1,1.0
time 283,-0.91,-0.42,0.23,-0.28,0.86,0.67
time 284,0.99,-0.91,-0.01,-0.43,0.58,0.33
time 285,-0.3,0.19,0.91,-0.34,-0.06,0.67
time 286,0.28,-0.19,-0.88,0.06,-0.41,0.67
time 287,0.43,0.46,-0.59,-0.35,0.66,0.33
time 288,-0.49,0.18,-0.52,0.36,0.57,1.0
time 289,0.32,0.68,-0.16,0.04,0.11,0.67
time 290,0.76,-0.32,-0.99,0.34,-0.41,1.0
time 291,0.18,-0.47,-0.46,-0.12,0.85,1.0
time 292,0.92,-0.96,-0.82,0.66,0.49,0.67
time 293,0.21,-0.63,0.21,0.73,-0.09,0.67
time 294,-0.26,-0.33,0.99,0.05,-0.67,0.67
time 295,0.23,0.17,0.8,-0.46,-0.55,0.33
time 296,0.98,0.44,-0.81,0.48,-0.84,0.33
time 297,-0.94,0.59,0.31,-0.3,-0.47,0.67
time 298,0.05,0.21,0.24,0.25,-0.1,0.67
time 299,0.2,0.35,0.24,0.04,-0.07,1.0
time 300,0.69,0.21,-0.42,-0.63,-0.31,0.33
time 301,0.39,0.11,0.88,-0.48,-0.51,0.33
time 302,-0.86,0.9,0.59,-0.8,0.23,0.33
time 303,-0.61,0.23,0.03,0.51,-0.75,0.67
time 304,0.78,0.28,0.03,0.45,0.65,1.0
time 305,-0.04,-0.73,-0.33,-0.37,-0.32,0.67
time 306,-0.58,0.51,0.05,-0.54,-0.33,0.33
time 307,0.83,0.6,0.39,0.42,0.92,0.67
time 308,-0.52,0.6,0.08,0.64,0.21,1.0
time 309,0.49,-0.94,0.43,0.83,-0.83,0.67
time 310,-0.5,0.01,-0.77,-0.68,-0.87,1.0
time 311,0.72,0.28,0.61,-0.62,-0.0,1.0
time 312,-1.0,0.51,-0.72,-0.52,-0.31,0.67
time 313,-0.3,0.26,-0.29,0.57,-0.16,0.67
time 314,-0.95,-0.15,-0.43,-0.47,0.04,0.33
time 315,0.18,-0.47,0.45,-0.4,0.37,1.0
time 316,-0.42,0.55,0.74,0.93,0.28,0.67
time 317,0.37,-0.8,-0.29,0.75,-0.01,1.0
time 318,-0.44,-0.0,0.51,-0.78,0.29,0.33
time 319,-0.79,-0.14,0.32,-0.17,0.58,1.0
time 320,0.93,0.96,-0.12,-0.27,-0.96,0.33
time 321,0.84,-0.66,0.67,-0.48,0.53,0.33
time 322,0.89,0.5,-0.93,0.41,0.25,0.67
time 323,0.31,-0.77,0.63,0.34,0.88,0.33
time 324,-0.08,0.07,0.93,0.04,0.58,0.67
time 325,0.34,0.01,-0.95,-0.89,-0.2,0.67
time 326,-0.86,0.71,-0.68,0.25,-0.11,1.0
time 327,0.42,-0.78,-0.85,0.44,-0.31,0.33
time 328,-0.48,-0.15,-0.85,0.42,0.57,0.33
time 329,0.46,0.6,0.28,-0.7,-0.24,1.0
time 330,0.87,0.87,-0.43,0.91,0.02,0.67
time 331,0.51,0.3,-0.54,0.62,0.66,0.33
time 332,0.94,0.35,0.22,-0.39,-0.6,0.67
time 333,-0.54,-0.16,0.33,0.39,-0.79,0.33
time 334,0.45,-0.42,-0.64,-0.68,0.69,0.67
time 335,0.3,0.23,-0.02,0.35,0.52,0.33
time 336,-0.89,0.14,-0.93,-0.9,0.78,1.0
time 337,0.42,-0.44,0.68,0.82,0.3,1.0
time 338,0.63,0.21,0.9,0.37,0.7,0.33
time 339,-0.61,1.0,0.41,0.15,0.83,1.0
time 340,0.15,0.45,0.25,-0.87,0.79,0.33
time 341,0.25,0.28,-0.11,-0.68,0.7,1.0
time 342,0.8,0.61,-0.33,0.77,-0.16,0.33
time 343,0.52,-0.21,0.94,0.02,0.84,1.0
time 344,-0.33,0.73,-0.9,-0.58,-0.65,0.33
time 345,-0.63,0.71,0.13,-0.53,0.16,0.33
time 346,-0.44,-0.56,0.74,0.45,0.04,1.0
time 347,0.93,0.89,0.16,-0.38,0.29,0.67
time 348,0.92,0.22,0.77,0.33,0.03,0.33
time 349,0.49,0.47,-0.67,0.78,-0.86,1.0
time 350,0.15,0.01,-0.91,0.97,0.32,0.33
time 351,-0.17,-0.24,0.55,-0.41,0.78,0.33
time 352,0.96,-0.46,-0.28,0.37,0.86,0.67
time 353,-0.64,-0.78,0.82,0.09,-0.62,0.33
time 354,0.88,-0.5,0.64,0.05,0.06,0.67
time 355,-0.3,-0.56,0.29,0.02,0.02,1.0
time 356,0.76,-0.23,0.62,0.8,-0.15,0.33
time 357,0.62,-0.41,0.51,0.99,-0.72,0.33
time 358,0.01,0.8,0.68,0.07,-0.3,1.0
time 359,0.93,-0.81,0.56,0.85,-0.3,0.67
time 360,-0.41,-0.42,0.98,0.95,-0.64,0.67
time 361,0.11,-0.25,-0.89,0.88,-0.3,1.0
time 362,-0.11,-0.72,0.33,0.46,0.5,0.67
time 363,-0.57,0.05,0.09,-0.15,-0.15,0.67
time 364,-0.28,0.08,0.19,0.52,-0.62,1.0
time 365,0.72,0.37,-0.06,-0.41,0.7,1.0
time 366,0.38,-0.36,0.6,-0.57,0.37,1.0
time 367,0.43,-0.79,-0.0,0.71,-0.81,1.0
time 368,-0.14,0.15,0.3,-0.22,0.32,0.33
time 369,0.89,0.87,-0.62,-0.34,0.62,0.67
time 370,0.89,-0.46,-0.37,0.14,-0.28,0.67
time 371,0.71,0.79,-0.43,0.96,0.06,1.0
time 372,-0.04,0.68,-0.02,0.63,0.18,0.33
time 373,-0.31,-0.22,0.22,-0.3,-0.05,0.33
time 374,-0.91,0.55,0.8,-0.8,-0.34,0.67
time 375,-0.1,0.12,0.29,0.77,0.81,0.67
time 376,0.95,-0.45,-0.85,0.97,-0.48,0.67
time 377,-0.05,-0.0,0.97,0.22,-0.03,0.33
time 378,-0.04,-0.62,0.03,0.43,0.56,0.67
time 379,0.25,0.48,0.19,-0.95,0.28,1.0
time 380,0.91,0.95,-0.03,-0.06,0.3,1.0
time 381,0.28,0.03,-0.09,0.29,0.56,0.67
time 382,-0.24,0.59,0.75,-0.86,-0.14,0.67
time 383,0.28,0.67,-0.55,-0.54,-0.4,1.0
time 384,-0.58,-0.16,-0.36,0.64,0.5,1.0
time 385,0.58,-0.57,-0.57,-0.5,-0.32,1.0
time 386,-0.66,-0.85,-0.54,0.65,-0.8,0.67
time 387,-0.95,-0.94,0.54,-0.92,-0.36,1.0
time 388,-0.66,0.47,-0.68,-0.35,0.55,0.33
time 389,0.67,-0.45,0.7,0.65,-0.09,1.0
time 390,-0.04,0.55,0.6,-0.83,0.94,0.33
time 391,-0.75,0.05,0.43,-0.89,-0.82,0.67
time 392,-0.9,-0.57,0.96,0.63,0.23,0.33
time 393,0.38,0.05,0.41,0.25,0.35,0.67
time 394,0.18,0.5,0.33,0.71,0.51,0.33
time 395,-0.35,-0.81,0.19,0.21,0.53,0.33
time 396,-0.94,-0.36,0.88,-0.02,-0.61,0.33
time 397,-0.95,-0.52,0.35,-0.15,-0.15,0.33
time 398,-0.51,-0.66,0.26,0.25,-0.32,0.33
time 399,0.84,0.04,-0.79,-0.73,0.37,0.67
time 400,-0.17,-0.12,-0.62,-0.28,-0.55,0.33
time 401,-0.78,0.81,0.04,-0.25,-0.07,1.0
time 402,0.71,0.94,-0.28,0.37,-0.27,0.33
time 403,0.75,0.4,0.05,-0.49,0.03,1.0
time 404,-0.09,0.33,0.28,0.12,0.88,0.33
time 405,-0.41,-0.66,0.1,-0.41,-0.51,0.33
time 406,-0.92,0.23,-0.94,-0.52,-0.04,0.67
time 407,-0.53,0.5,-0.28,0.21,0.2,1.0
time 408,-0.73,-0.66,0.46,0.45,-0.49,0.33
time 409,0.01,0.11,-0.17,-0.88,0.4,1.0
time 410,-0.14,-0.75,-0.72,-0.47,0.62,0.67
time 411,0.9,-0.21,-0.64,-0.25,0.76,1.0
time 412,0.3,-0.73,-0.31,0.6,0.31,1.0
time 413,-0.24,-0.92,0.94,0.41,-0.04,0.33
time 414,0.11,0.13,-1.0,-0.47,0.89,0.33
time 415,0.04,-0.16,-0.32,-0.43,-0.13,0.33
time 416,0.91,0.96,-0.66,-0.27,0.73,0.67
time 417,0.04,-0.35,0.16,-0.18,-0.93,0.33
time 418,0.37,0.11,0.75,0.71,-0.09,0.33
time 419,-0.24,-0.72,0.51,-0.43,-0.71,0.33
time 420,0.6,-0.59,-0.55,-0.66,0.48,0.33
time 421,-0.2,0.25,-0.44,0.54,-0.07,1.0
time 422,0.9,-0.6,0.15,-0.53,0.26,0.67
time 423,-0.16,0.28,-0.21,-0.06,-0.04,1.0
time 424,-0.02,-0.65,-0.94,-0.19,-0.48,0.33
time 425,0.83,-0.1,0.5,0.68,-0.42,1.0
time 426,0.1,-0.35,0.76,-0.79,0.84,1.0
time 427,0.31,0.45,0.56,-0.77,-0.73,0.67
time 428,0.78,-0.7,0.75,0.95,-0.27,0.33
time 429,0.6,-0.29,0.96,0.34,-0.4,1.0
time 430,-0.26,0.77,0.32,-0.71,-0.35,0.33
time 431,0.53,0.24,0.64,0.73,-0.92,1.0
time 432,0.99,-0.8,0.29,-0.22,-0.11,0.67
time 433,-0.1,0.42,0.2,-0.63,0.58,1.0
time 434,0.03,-0.67,0.68,0.48,-0.02,0.67
time 435,-0.08,-0.1,0.82,-0.29,-0.4,0.67
time 436,0.72,-0.55,-0.04,0.46,-0.98,1.0
time 437,-0.03,0.92,-0.61,0.71,0.32,0.67
time 438,-0.5,-0.68,-0.15,0.3,-0.55,0.33
time 439,-0.74,-0.99,-0.14,0.04,0.3,0.67
time 440,-0.43,-0.84,-0.28,0.97,0.19,0.33
time 441,-0.79,0.21,-0.51,-0.54,-0.07,0.33
time 442,-0.55,-0.64,-0.02,-0.98,-0.69,0.67
time 443,-0.74,0.63,0.54,0.96,0.25,0.67
time 444,0.88,0.98,-0.15,-0.5,0.07,0.33
time 445,0.21,-0.24,-0.46,-0.71,0.58,0.67
time 446,-0.35,0.69,-0.69,-0.77,0.46,1.0
time 447,-0.85,-0.47,-0.95,-0.21,0.85,0.67
time 448,0.84,-0.21,-0.54,-0.1,-0.42,0.33
time 449,0.55,-0.31,0.97,0.82,-0.7,1.0
time 450,0.72,0.47,-0.58,-0.95,0.01,1.0
time 451,0.86,0.46,-0.44,0.25,0.14,0.33
time 452,-0.91,-0.85,-0.98,0.03,-0.93,0.33
time 453,0.8,-0.73,0.44,0.27,-0.53,0.33
time 454,-0.79,0.47,-0.86,-0.1,-0.27,0.33
time 455,0.8,-0.78,0.0,0.72,0.02,1.0
time 456,0.75,-0.41,-0.5,0.81,0.72,1.0
time 457,0.54,-0.91,0.43,-0.9,-0.35,0.67
time 458,0.43,-0.23,0.75,-0.98,0.01,0.67
